Unit Code,Unit Title,Dept,Value,Link code,Instance
I00472,U2605PYC | BSc (Hons) Sport and Exercise Psychology | Year 3 | Semester 1,SHES,0,I00472,Sem2
I00473,U2325PYC | BSc (Hons) Sport and Exercise Science | Year 1 | Semester 1,SHES,0,I00473,Sem1
I00473,U2325PYC | BSc (Hons) Sport and Exercise Science | Year 1 | Semester 1,SHES,0,I00473,Sem2
I00474,U2325PYC | BSc (Hons) Sport and Exercise Science | Year 2 | Semester 1,SHES,0,I00474,Sem1
I00474,U2325PYC | BSc (Hons) Sport and Exercise Science | Year 2 | Semester 1,SHES,0,I00474,Sem2
I00475,U2325PYC | BSc (Hons) Sport and Exercise Science | Year 3 | Semester 1,SHES,0,I00475,Sem1
I00475,U2325PYC | BSc (Hons) Sport and Exercise Science | Year 3 | Semester 1,SHES,0,I00475,Sem2
I00476,U3329PYC | BSc (Hons) Sport Management | Year 1 | Semester 1,SHES,0,I00476,Sem1
I00476,U3329PYC | BSc (Hons) Sport Management | Year 1 | Semester 1,SHES,0,I00476,Sem2
I00477,U3329PYC | BSc (Hons) Sport Management | Year 2 | Semester 1,SHES,0,I00477,Sem1
I00477,U3329PYC | BSc (Hons) Sport Management | Year 2 | Semester 1,SHES,0,I00477,Sem2
I00478,U3329PYC | BSc (Hons) Sport Management | Year 3 | Semester 1,SHES,0,I00478,Sem1
I00478,U3329PYC | BSc (Hons) Sport Management | Year 3 | Semester 1,SHES,0,I00478,Sem2
I00479,U3216FTC | BSc (Hons) Sport Management (Top-up) | Year 1 | Semester 1,SHES,0,I00479,Sem1
I00479,U3216FTC | BSc (Hons) Sport Management (Top-up) | Year 1 | Semester 1,SHES,0,I00479,Sem2
I00480,U3138PYC | BSc (Hons) Sport Health and Exercise Sciences (Dual Degree) | Year 1,SHES,0,I00480,Sem1
I00480,U3138PYC | BSc (Hons) Sport Health and Exercise Sciences (Dual Degree) | Year 1,SHES,0,I00480,Sem2
I00481,U3138PYC | BSc (Hons) Sport Health and Exercise Sciences (Dual Degree) | Year 2,SHES,0,I00481,Sem1
I00481,U3138PYC | BSc (Hons) Sport Health and Exercise Sciences (Dual Degree) | Year 2,SHES,0,I00481,Sem2
I00482,U3138PYC | BSc (Hons) Sport Health and Exercise Sciences (Dual Degree) | Year 3,SHES,0,I00482,Sem1
I00482,U3138PYC | BSc (Hons) Sport Health and Exercise Sciences (Dual Degree) | Year 3,SHES,0,I00482,Sem2
I00483,U3138PYC | BSc (Hons) Sport Health and Exercise Sciences (Dual Degree) | Year 4,SHES,0,I00483,Sem1
I00483,U3138PYC | BSc (Hons) Sport Health and Exercise Sciences (Dual Degree) | Year 4,SHES,0,I00483,Sem2
I00484,U3217FTC | BSc (Hons) Sports Coaching (Top-up) | Year 1 | Semester 1,SHES,0,I00484,Sem1
I00484,U3217FTC | BSc (Hons) Sports Coaching (Top-up) | Year 1 | Semester 1,SHES,0,I00484,Sem2
